GeneID,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
FRHAMPoaBu6q,430200,426900,421500,444200,377800,4564,2206,3012,3069,2686
xDSavCe4f8yD,382200,378300,385200,412600,394000,23960,24150,10920,8066,10400
Uj5AWC08FDB6,57970,52770,64170,64190,61460,91950,93670,91280,96390,99700
apBi7rYyPrEp,123900,131300,127800,128500,132700,19680,20860,16560,16700,15570
cizeLo9uGxzK,412500,396100,427800,458700,430400,227900,224700,216500,212800,213200
lJMeuV3OKsaj,150200,155400,163900,167200,148500,71530,67230,70570,72840,72840
Ju1Q4CNujnxJ,124300,114200,126200,121000,108700,9330,8002,2152,3354,4408
KJ7wZEbE19vT,92270,88640,87370,93180,86890,29190,23300,22320,22960,27570
UaGdniOed3Ia,145400,153800,159700,154700,151700,93620,95910,96540,89450,102900
fxx4ZsZxRsut,365300,360600,360300,368500,336400,100200,92500,89330,86980,85430
sedVCwIIvRZD,142000,146900,158800,161500,146300,53080,53610,50210,50750,46700
ur0diRkfRX9n,486300,477400,503200,501800,478100,20800,10850,3441,3703,4355
uzARUc4tX5mF,2154000,2086000,2220000,2081000,1978000,722300,716000,719500,642400,651800
PQA1KqlFdE7b,39880,45800,46040,47350,46310,42970,41850,40010,38800,46380
fO8KE9UBQjxk,693600,703800,721300,731000,732900,243500,254900,248300,231500,205500
PhCCAOXiDJaw,518000,536000,534100,528000,465700,145200,128900,122600,123500,136700
sk1OREovrPwk,65120,66930,71420,64920,67200,35920,34040,35330,33150,36550
E1UGVs2yOpBD,905600,877000,922000,901500,855200,301900,301400,301300,303400,278800
GhOgIODMfBI8,352100,329100,358900,339200,335500,116000,122100,127800,110500,117700
BtolmqrwgaQO,171200,176500,199200,185400,179700,31620,32670,24260,25580,25560
XZsM9emFc5CR,1108000,1027000,1127000,1148000,987200,279200,276800,251300,249800,261100
w8ZDjmSHSqvl,341900,361300,351400,366500,334800,118600,118200,118400,108300,101900
y125oyRTj9Yb,387400,401100,449200,419800,419600,281300,280400,289300,292200,276400
OxdDGVOYCVch,222300,204900,221400,241200,204100,1e+05,93220,92820,90850,93070
rrRYa3MYFLMn,619300,661300,706700,675200,672800,310100,304700,274700,297900,310200
lJviOXL7pmgv,230000,235800,243900,251600,231600,68420,63250,48250,51230,56490
3X380HQasA3r,119700,117100,122100,123200,117400,89230,81950,93420,77460,90890
DXFnPbhWQ0yt,1576000,1569000,1648000,1578000,1455000,835800,811400,829800,748800,785100
ofcOrJC4P9cz,1219000,1228000,1286000,1278000,1206000,298500,288800,280700,286300,315400
xFF4XYtFpGrZ,27690,24360,31100,26900,30370,28490,25880,28020,24740,27160
G37ejw92Mpx7,100500,94690,94390,94760,94710,14770,11320,8729,9416,9439
eGaZaQtttjGf,385000,361000,360800,375200,347400,99650,98270,90250,95520,96020
5Sbd1zDpGazU,294500,297800,295300,292100,281700,105800,101000,99370,89120,99370
l22nl5XohoMZ,3192000,3135000,3157000,3346000,2976000,91550,79160,14540,20490,15030
WKr1UOd8arvF,164000,154600,164800,164500,154600,89830,88910,86940,76480,95980
